,city,sentiment,lat,lng,population,chain
0,Alhambra,0.0969779789879616,33.83529200000201,-117.91450300000218,336265,starbucks
1,Anaheim,0.142903635537101,38.004922000000064,-121.80578899999956,102372,starbucks
2,Antioch,0.1233547912992357,35.373292000000184,-119.01871099999975,347483,starbucks
3,Bakersfield,0.0992184371042789,34.08528600000074,-117.9608969999986,75390,starbucks
4,Baldwin Park,0.1083044742382435,33.88168300000003,-118.11701100000008,76616,starbucks
5,Bellflower,0.087532242063492,37.871592000000014,-122.27274700000038,112580,starbucks
6,Berkeley,0.0378916074005359,33.86751399999972,-117.99811700000024,80530,starbucks
7,Buena Park,0.1481882481621012,33.15809199999976,-117.35059400000117,105328,starbucks
8,Carlsbad,0.1233186983540367,33.83140600000043,-118.28201700000164,91714,starbucks
9,Carson,0.1072127565313382,39.72849399999997,-121.83747800000006,86187,starbucks
10,Chico,0.1286139832065649,34.01223599999981,-117.68894400000046,77983,starbucks
11,Chino,0.0873344882944999,32.640053000000066,-117.08419700000012,243916,starbucks
12,Chula Vista,0.17417019876259,36.82522799999981,-119.70291900000062,95631,starbucks
13,Clovis,0.1244047551465186,33.89585000000003,-118.22007200000006,96455,starbucks
14,Compton,0.1299154334038054,37.97797800000033,-122.03107199999975,122067,starbucks
15,Concord,0.1025194552311487,33.87529400000006,-117.56643899999932,152374,starbucks
16,Corona,0.1762247293706847,33.641132999999186,-117.9186690000036,109960,starbucks
17,Costa Mesa,0.1220570579174357,37.68792500000181,-122.47020799999936,101123,starbucks
18,Daly City,0.0953389612877223,33.94001400000001,-118.13256900000005,111772,starbucks
19,Downey,0.1536458333333333,32.79477199999976,-116.96252799999834,99478,starbucks
20,El Cajon,0.0999017634606362,33.11920800000006,-117.08642200000028,143911,starbucks
21,Escondido,0.1211043110866616,38.24935800000002,-122.0399669999999,105321,starbucks
22,Fairfield,0.1036786039552433,34.09223300000002,-117.43504699999995,196069,starbucks
23,Fontana,0.1190075298454372,37.54826899999998,-121.98857200000008,214089,starbucks
24,Fremont,0.1596717735389611,36.7468420000002,-119.77258599999948,494665,mcdonalds
25,Fresno,0.1219485418608759,33.87029199999966,-117.92533899999783,135161,starbucks
26,Fullerton,0.1390063296145852,33.77390600000128,-117.94144700000211,170883,starbucks
27,Garden Grove,0.1338912856097612,34.142507999999935,-118.2550749999996,191719,starbucks
28,Glendale,0.1313364599596669,33.916402999999974,-118.35257499999992,84293,starbucks
29,Hawthorne,0.1211066308243727,37.66881900000032,-122.08079700000036,144186,subway
30,Hayward,0.0856010162847583,33.747519000000004,-116.97196700000016,78657,starbucks
31,Hemet,0.1056187826930014,34.4263890000001,-117.30087799999995,90173,starbucks
32,Hesperia,0.1625156562678673,33.66029699999995,-117.99922499999978,189992,starbucks
33,Huntington Beach,0.1441441316106452,33.72057800000015,-116.2155610000006,76036,starbucks
34,Indio,0.0981574153117079,33.96168099999827,-118.35313100000567,109673,starbucks
35,Inglewood,0.0806983655168962,33.68394700000002,-117.79469399999948,212375,starbucks
36,Irvine,0.1137300671362641,33.853628000000214,-118.13395599999986,80048,starbucks
37,Lakewood,0.1440203688187558,34.68678599999999,-118.15416400000002,156633,starbucks
38,Lancaster,0.1283668154761904,37.68187500000015,-121.76800799999944,80968,subway
39,Livermore,0.1258387233797948,33.768321999999905,-118.1956169999993,462257,starbucks
40,Long Beach,0.1065864845031511,34.05223299999878,-118.24368600000152,3792621,starbucks
41,Los Angeles,0.1246550367003706,37.30216400000005,-120.48296699999992,78958,starbucks
42,Merced,0.1261587033462033,33.600022000000024,-117.671994,93305,mcdonalds
43,Mission Viejo,0.094308991207056,37.63909699999992,-120.99687800000054,201165,starbucks
44,Modesto,0.0900143975940544,33.942467000000015,-117.229672,193365,starbucks
45,Moreno Valley,0.0433087407172773,38.297539000000064,-122.2868639999998,76915,starbucks
46,Napa,0.0828605952380952,33.61891099999972,-117.92894700000028,85186,starbucks
47,Newport Beach,0.1261854352009006,33.90223599999997,-118.081733,105549,starbucks
48,Norwalk,0.0601905733155733,37.80436399999981,-122.27111399999944,390724,subway
49,Oakland,0.1043493266843131,33.19586899999981,-117.37948299999968,167086,starbucks
50,Oceanside,0.1264233132178161,34.06334399999935,-117.65088899999802,163924,starbucks
51,Ontario,0.1166391095301772,33.78779399999988,-117.85311099999944,136416,starbucks
52,Orange,0.1296429236076001,34.19750600000017,-119.17705299999966,197899,starbucks
53,Oxnard,0.118753734297952,34.57943300000002,-118.116461,152750,starbucks
54,Palmdale,0.1411346772678925,34.055228000000106,-117.75230599999976,149058,starbucks
55,Pomona,0.0976843766881827,34.10639999999992,-117.59310799999982,165269,starbucks
56,Rancho Cucamonga,0.113437730782524,40.586538999999945,-122.39167499999994,89861,starbucks
57,Redding,0.1262545878035008,37.48521399999995,-122.23635599999996,76815,starbucks
58,Redwood City,0.0847309369781279,34.106400000000015,-117.37032499999992,99171,subway
59,Rialto,0.1229087410905592,37.93575799999981,-122.34775000000056,103701,subway
60,Richmond,0.0861324625809919,33.95334999999983,-117.39615599999968,303871,starbucks
61,Riverside,0.072251938844512,38.75212199999995,-121.28800600000017,118788,starbucks
62,Roseville,0.1211237730782158,38.581571999999774,-121.49440000000006,466488,starbucks
63,Sacramento,0.0989902429957768,36.67773600000005,-121.65549999999992,150441,starbucks
64,Salinas,0.1115662005095598,34.108344000000194,-117.28976400000067,209924,starbucks
65,San Bernardino,0.1643286261229809,32.71532800000001,-117.1572560000002,1307402,subway
66,San Diego,0.1974708813913359,37.77493100000181,-122.41941700001156,805235,starbucks
67,San Francisco,0.1051449145878039,37.33938599999968,-121.89495600000204,945942,starbucks
68,San Jose,0.1240037694032324,37.72493099999996,-122.156078,84950,starbucks
69,San Leandro,0.0740104077361239,33.143372,-117.16614399999986,83781,starbucks
70,San Marcos,0.1182549066941194,37.56299199999955,-122.3255249999998,97207,starbucks
71,San Mateo,0.0867033022148967,33.74557199999983,-117.86783299999809,324528,starbucks
72,Santa Ana,0.124788391897197,34.420830999999964,-119.69818899999994,88410,starbucks
73,Santa Barbara,0.1494167947388508,37.354107999999584,-121.95523599999956,116468,starbucks
74,Santa Clara,0.1152708920462627,34.391664000000105,-118.54258599999972,176320,starbucks
75,Santa Clarita,0.106544327343392,34.95303299999992,-120.4357189999998,99553,starbucks
76,Santa Maria,0.1270685684016276,34.01945300000074,-118.491191999991,89736,starbucks
77,Santa Monica,0.0831797036018522,38.44046699999994,-122.71443100000016,167815,starbucks
78,Santa Rosa,0.1049576632346202,33.95473599999997,-118.21201699999988,94396,starbucks
79,South Gate,0.1084527650139408,37.95770300000003,-121.29078099999975,291707,starbucks
80,Stockton,0.0763590910185706,37.36883099999979,-122.03634999999844,140081,starbucks
81,Sunnyvale,0.1303627811769759,33.4936390000001,-117.1483640000004,100097,starbucks
82,Temecula,0.1058657572863496,33.83585000000018,-118.3406280000025,145438,starbucks
83,Torrance,0.1086097071533563,37.73964999999999,-121.42522199999988,82922,starbucks
84,Tracy,0.1379758081995736,33.74584999999943,-117.8261669999984,75540,starbucks
85,Tustin,0.1238989962610378,38.35657799999994,-121.987744,92428,starbucks
86,Vacaville,0.1283626067219817,38.10408600000003,-122.25663600000004,115942,starbucks
87,Vallejo,0.0781174242424242,34.2746390000001,-119.2290059999997,106433,mcdonalds
88,Ventura,0.0618291403261641,34.53610799999992,-117.291158,115903,starbucks
89,Victorville,0.0905388454861111,36.33022799999993,-119.29205799999968,124442,starbucks
90,Visalia,0.1670546958828208,33.20003600000013,-117.2425360000005,93834,starbucks
91,Vista,0.1247923477534014,34.068621999999486,-117.93895300000156,106098,starbucks
92,West Covina,0.1077840729945244,33.75134199999973,-117.99399200000042,89701,starbucks
